tag	nonce	classical	n_shots	rung	ms	pair_ms	sim_ms	stream_fp
i259s0	138965822341344	13	9024	9024	4356	1387	2968	9a6be3bc436d19b31756410d067b9c2f
i259s0	140065333969120	16	9024	9024	6550	2440	4110	ccdd0e820525d59d510df79d138e5c45
i259s0	141164845596896	13	9024	9024	7495	2322	5172	fa7770dae280be8c90d09003aeca00d8
i259s0	142264357224672	17	9024	9024	4312	1463	2848	5ae9cd0676c508e36531fe35139d8467
i259s0	143363868852448	17	9024	9024	7418	2329	5088	4747c21497c530c8557d50f6a40700b7
i259s0	144463380480224	22	9024	9024	6154	1421	4732	3256b038cb6645808836231721137b3c
i259s0	145562892108000	20	9024	9024	4128	1393	2734	7d2250ffd1ab4b30794f2ee948be20fc
i259s0	146662403735776	15	9024	9024	4200	1416	2783	670e77c7d7a99ed3b2ad9e763c77a6c5
i259s0	147761915363552	10	9024	9024	4425	1746	2678	2362a134cc85743f07c68c187294237d
i259s0	148861426991328	13	9024	9024	7520	2342	5178	ede884281f8a7bcf3e192ee5164917c2
i259s0	149960938619104	19	9024	9024	4198	1524	2673	5657001b6650c3bd7066d2733aa32f59
i259s0	151060450246880	19	9024	9024	7533	2341	5191	036a229ccf7ef3bed1928924e0285162
i259s0	152159961874656	19	9024	9024	7559	2520	5038	4c6743a787a3a3954b253adbb26f1eed
i259s0	153259473502432	20	9024	9024	7451	2666	4784	c6ad77d9534d75a34e261d5adf7f81af
i259s0	154358985130208	16	9024	9024	7415	2334	5080	6fbdc1a40324931383198152c45f11aa
i259s0	155458496757984	13	9024	9024	7418	2332	5085	aa05edb0b745c1c1da085e0d308e4803
i259s0	156558008385760	16	9024	9024	4095	1382	2712	21109dc0ae5966e500f5bc7af79edee7
i259s0	157657520013536	17	9024	9024	4016	1359	2656	f9399a0d207c388fffbafdec14908482
i259s0	158757031641312	18	9024	9024	5628	1883	3744	8572da0836ab840d0ad9aa913a4ae10d
i259s0	159856543269088	21	9024	9024	5610	1434	4175	4c53cceb1e7c8643fa1fb3c15a7594e9
i259s0	160956054896864	23	9024	9024	3972	1400	2572	1809ca37116e9770d54d0067359e56fc
i259s0	162055566524640	20	9024	9024	7471	2279	5191	9183b0c45f0a12979da125bfab339dcb
i259s0	163155078152416	20	9024	9024	4059	1402	2656	27bdb8fbe97774f304f8e08043d9fb46
i259s0	164254589780192	16	9024	9024	7419	2277	5141	79b2720de05d39c68922120d523699aa
